第:0回合,loss:96.443794
第:1回合,loss:79.94396
第:2回合,loss:75.98446
第:3回合,loss:74.19397
第:4回合,loss:73.1113
第:5回合,loss:72.40406
第:6回合,loss:71.92451
第:7回合,loss:71.58992
第:8回合,loss:71.352554
第:9回合,loss:71.1826
第:10回合,loss:71.06039
第:11回合,loss:70.97236
第:12回合,loss:70.909
第:13回合,loss:70.86344
第:14回合,loss:70.830696
第:15回合,loss:70.80701
第:16回合,loss:70.78935
第:17回合,loss:70.77451
第:18回合,loss:70.75514
第:19回合,loss:70.13072
第:20回合,loss:67.53146
第:21回合,loss:66.79079
第:22回合,loss:66.16239
第:23回合,loss:65.68403
第:24回合,loss:65.212234
第:25回合,loss:64.7527
第:26回合,loss:64.3204
第:27回合,loss:63.91461
第:28回合,loss:63.53428
第:29回合,loss:63.178165
第:30回合,loss:62.84506
第:31回合,loss:62.53388
第:32回合,loss:62.243565
第:33回合,loss:61.973095
第:34回合,loss:61.72141
第:35回合,loss:61.487354
第:36回合,loss:61.269707
第:37回合,loss:61.06714
第:38回合,loss:60.878304
第:39回合,loss:60.701786
第:40回合,loss:60.536144
第:41回合,loss:60.379894
第:42回合,loss:60.231495
第:43回合,loss:60.089237
第:44回合,loss:59.951267
第:45回合,loss:59.815662
第:46回合,loss:59.68082
第:47回合,loss:59.546543
第:48回合,loss:59.415134
第:49回合,loss:59.290077
第:50回合,loss:59.171864
第:51回合,loss:59.057556
第:52回合,loss:58.944767
第:53回合,loss:58.833233
第:54回合,loss:58.723427
第:55回合,loss:58.615627
第:56回合,loss:58.509735
第:57回合,loss:58.405422
第:58回合,loss:58.302288
第:59回合,loss:58.199963
第:60回合,loss:58.09838
第:61回合,loss:57.998047
第:62回合,loss:57.899563
第:63回合,loss:57.80131
第:64回合,loss:57.703644
第:65回合,loss:57.611942
第:66回合,loss:57.525867
第:67回合,loss:57.4433
第:68回合,loss:57.36288
第:69回合,loss:57.28423
第:70回合,loss:57.20716
第:71回合,loss:57.13161
第:72回合,loss:57.057575
第:73回合,loss:56.985046
第:74回合,loss:56.914032
第:75回合,loss:56.844513
第:76回合,loss:56.776463
第:77回合,loss:56.709843
第:78回合,loss:56.644638
第:79回合,loss:56.5808
第:80回合,loss:56.5183
第:81回合,loss:56.4571
第:82回合,loss:56.39716
第:83回合,loss:56.338467
第:84回合,loss:56.28098
第:85回合,loss:56.224667
第:86回合,loss:56.16951
第:87回合,loss:56.11547
第:88回合,loss:56.06253
第:89回合,loss:56.010674
第:90回合,loss:55.959873
第:91回合,loss:55.910107
第:92回合,loss:55.86137
第:93回合,loss:55.813625
第:94回合,loss:55.766872
第:95回合,loss:55.721085
第:96回合,loss:55.676243
第:97回合,loss:55.632343
第:98回合,loss:55.589363
第:99回合,loss:55.547302
第:100回合,loss:55.506123
第:101回合,loss:55.46582
第:102回合,loss:55.426388
第:103回合,loss:55.38781
第:104回合,loss:55.350048
第:105回合,loss:55.313095
第:106回合,loss:55.27695
第:107回合,loss:55.24156
第:108回合,loss:55.206936
第:109回合,loss:55.17304
第:110回合,loss:55.139862
第:111回合,loss:55.107372
第:112回合,loss:55.075554
第:113回合,loss:55.044395
第:114回合,loss:55.013874
第:115回合,loss:54.983963
第:116回合,loss:54.95465
第:117回合,loss:54.92592
第:118回合,loss:54.897747
第:119回合,loss:54.870125
第:120回合,loss:54.843025
第:121回合,loss:54.816433
第:122回合,loss:54.79034
第:123回合,loss:54.764725
第:124回合,loss:54.73958
第:125回合,loss:54.71488
第:126回合,loss:54.69063
第:127回合,loss:54.666805
第:128回合,loss:54.64339
第:129回合,loss:54.62038
第:130回合,loss:54.59777
第:131回合,loss:54.575535
第:132回合,loss:54.55367
第:133回合,loss:54.53215
第:134回合,loss:54.510998
第:135回合,loss:54.490185
第:136回合,loss:54.469696
第:137回合,loss:54.44953
第:138回合,loss:54.429676
第:139回合,loss:54.410126
第:140回合,loss:54.390877
第:141回合,loss:54.371906
第:142回合,loss:54.35323
第:143回合,loss:54.334816
第:144回合,loss:54.31667
第:145回合,loss:54.298786
第:146回合,loss:54.281143
第:147回合,loss:54.263752
第:148回合,loss:54.2466
第:149回合,loss:54.22968
第:150回合,loss:54.21299
第:151回合,loss:54.196503
第:152回合,loss:54.180244
第:153回合,loss:54.16419
第:154回合,loss:54.148323
第:155回合,loss:54.132664
第:156回合,loss:54.117188
第:157回合,loss:54.101894
第:158回合,loss:54.086777
